FMTNAME,TYPE,START,END,LABEL
EORTC,N,1.0,1.0,Not At All
EORTC,N,2.0,2.0,A Little
EORTC,N,3.0,3.0,Quite A Bit
EORTC,N,4.0,4.0,Very Much
FACT,N,0.0,0.0,Not At All
FACT,N,1.0,1.0,A Little Bit
FACT,N,2.0,2.0,Somewhat
FACT,N,3.0,3.0,Quite A Bit
FACT,N,4.0,4.0,Very Much
FACTQ,N,0.0,0.0,Declined to answer
LABID,N,,,
AEACN,C,0.0,0.0,Dose Not Changed
AEACN,C,1.0,1.0,Dose Increased
AEACN,C,2.0,2.0,Dose Reduced
AEACN,C,3.0,3.0,Drug Interrupted
AEACN,C,4.0,4.0,Drug Permanently Discontinued
AEACN,C,97.0,97.0,Not Applicable
AEACTIP,C,0.0,0.0,None
AEACTIP,C,1.0,1.0,Dose Changed
AEACTIP,C,2.0,2.0,Temporarily Stopped
AEACTIP,C,3.0,3.0,Permanently Stopped
AEOUTC,C,0.0,0.0,No Longer Present
AEOUTC,C,1.0,1.0,Still Present
AEOUTC,C,2.0,2.0,Death
AETOXGR,C,1.0,1.0,Mild AE
AETOXGR,C,2.0,2.0,Moderate AE
AETOXGR,C,3.0,3.0,Severe AE
AETOXGR,C,4.0,4.0,Life-threatening or Disabling AE
AETOXGR,C,5.0,5.0,Death Related to AE
AJCC_ST,C,0.0,0.0,Stage 0
AJCC_ST,C,10.0,10.0,Stage I
AJCC_ST,C,11.0,11.0,Stage IA
AJCC_ST,C,12.0,12.0,Stage IB
AJCC_ST,C,13.0,13.0,Stage IC
AJCC_ST,C,20.0,20.0,Stage II
AJCC_ST,C,21.0,21.0,Stage IIA
AJCC_ST,C,22.0,22.0,Stage IIB
AJCC_ST,C,23.0,23.0,Stage IIC
AJCC_ST,C,30.0,30.0,Stage III
AJCC_ST,C,31.0,31.0,Stage IIIA
AJCC_ST,C,32.0,32.0,Stage IIIB
AJCC_ST,C,33.0,33.0,Stage IIIC
AJCC_ST,C,40.0,40.0,Stage IV
AJCC_ST,C,41.0,41.0,Stage IVA
AJCC_ST,C,42.0,42.0,Stage IVB
AJCC_ST,C,43.0,43.0,Stage IVC
ASMGRPN,C,1.0,1.0,Cohort C1 (solid tumour)
ASMGRPN,C,2.0,2.0,Cohort C2 (Squamous NSCLC)
ASMGRPN,C,3.0,3.0,"Cohort C3 (gastric adenocarcinoma, including adenocarcinoma of the lower third of the oesophagus or the gastro-oesophageal junction)"
ASMGRPN,C,4.0,4.0,Cohort C4
BIOSAMP,C,0.0,0.0,Total Unstained Section/ Slide Preparation
BIOSAMP,C,1.0,1.0,Total Paraffin Embedded Block
BIOTTYP,C,0.0,0.0,Normal
BIOTTYP,C,1.0,1.0,Primary Tumor
BIOTTYP,C,2.0,2.0,Metastasis
BSIND,C,0.0,0.0,Not Selected
BSIND,C,1.0,1.0,Selected
